epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5938,2.24543,4.97084,0.00903,0.08091,0.12457,0.05995,0.02888,2.29172,3.61017,0.01243,0.00014674,0.00014674,0.00014674
2,51.4227,2.17576,3.78783,0.00883,0.23976,0.20332,0.14572,0.05712,2.20328,2.99116,0.01184,0.000294207,0.000294207,0.000294207
3,66.8023,2.1214,2.99165,0.00849,0.43009,0.29848,0.27104,0.10435,2.18568,2.43761,0.01209,0.000435599,0.000435599,0.000435599
4,82.16,2.07671,2.48511,0.00888,0.35,0.35776,0.34917,0.1398,2.20641,2.07533,0.01203,0.000570916,0.000570916,0.000570916
5,97.3536,2.11864,2.12006,0.00866,0.38892,0.42343,0.3571,0.13981,2.23242,1.98,0.01214,0.000614174,0.000614174,0.000614174
6,111.883,2.11804,1.94804,0.00887,0.46505,0.4149,0.40212,0.16192,2.22314,1.78669,0.01227,0.000600967,0.000600967,0.000600967
7,127.098,2.14283,1.82696,0.0087,0.44747,0.47856,0.43205,0.16745,2.22786,1.76121,0.01236,0.00058776,0.00058776,0.00058776
8,142.469,2.08834,1.72648,0.00859,0.51242,0.45484,0.46552,0.18963,2.18992,1.65395,0.01191,0.000574554,0.000574554,0.000574554
9,157.072,2.08374,1.66641,0.00853,0.53827,0.43907,0.46088,0.18869,2.20109,1.62952,0.01205,0.000561347,0.000561347,0.000561347
10,172.314,2.08841,1.59379,0.00835,0.51963,0.46463,0.47738,0.19123,2.25003,1.58289,0.01232,0.000548141,0.000548141,0.000548141
11,187.967,2.10093,1.5458,0.00861,0.51421,0.48823,0.5089,0.20564,2.23839,1.54218,0.01225,0.000534934,0.000534934,0.000534934
12,203.512,2.03769,1.51545,0.00856,0.55923,0.51169,0.52424,0.21368,2.21668,1.52584,0.01223,0.000521727,0.000521727,0.000521727
13,218.588,2.03885,1.49595,0.0083,0.53538,0.51688,0.52359,0.20803,2.23576,1.49931,0.01222,0.000508521,0.000508521,0.000508521
14,232.799,2.02887,1.43248,0.00865,0.59373,0.51235,0.52979,0.21318,2.22492,1.49498,0.01218,0.000495314,0.000495314,0.000495314
15,247.97,2.05615,1.43054,0.00833,0.53622,0.53747,0.53165,0.20845,2.25197,1.47431,0.01235,0.000482108,0.000482108,0.000482108
16,263.068,2.05345,1.37623,0.0083,0.54422,0.5343,0.52632,0.21148,2.20593,1.5072,0.01211,0.000468901,0.000468901,0.000468901
17,278.789,2.03583,1.3885,0.00836,0.53785,0.50385,0.5183,0.19543,2.22035,1.56996,0.01197,0.000455694,0.000455694,0.000455694
18,294.087,2.03442,1.3554,0.00792,0.62944,0.49622,0.54198,0.21688,2.24893,1.46229,0.01208,0.000442488,0.000442488,0.000442488
19,310.226,1.98924,1.30571,0.00789,0.60887,0.50166,0.54719,0.21427,2.23522,1.47866,0.01213,0.000429281,0.000429281,0.000429281
20,325.171,2.02994,1.28983,0.00808,0.60178,0.52548,0.55004,0.22036,2.22003,1.42187,0.01204,0.000416075,0.000416075,0.000416075
21,340.802,1.99459,1.24636,0.00788,0.59667,0.54268,0.56558,0.22487,2.21406,1.40804,0.012,0.000402868,0.000402868,0.000402868
22,357.096,1.96226,1.22489,0.00815,0.62892,0.50727,0.55483,0.21631,2.25546,1.40872,0.0123,0.000389661,0.000389661,0.000389661
23,372.572,1.98208,1.21636,0.00787,0.59417,0.526,0.5607,0.22115,2.26414,1.40121,0.01234,0.000376455,0.000376455,0.000376455
24,387.677,2.00053,1.19819,0.00788,0.55578,0.55982,0.56656,0.22237,2.25149,1.37544,0.0122,0.000363248,0.000363248,0.000363248
25,403.041,1.96108,1.17068,0.00784,0.57265,0.55482,0.56391,0.22424,2.23483,1.38452,0.01211,0.000350042,0.000350042,0.000350042
26,417.747,1.9828,1.199,0.00766,0.63359,0.50691,0.57482,0.23126,2.2441,1.33111,0.01222,0.000336835,0.000336835,0.000336835
27,433.198,1.94924,1.18815,0.00748,0.61295,0.53035,0.56017,0.22776,2.24415,1.36981,0.01221,0.000323628,0.000323628,0.000323628
28,448.431,1.92963,1.17278,0.00764,0.58843,0.56747,0.56514,0.23045,2.22875,1.35244,0.01212,0.000310422,0.000310422,0.000310422
29,463.492,1.92718,1.13048,0.00773,0.61475,0.55637,0.57575,0.23288,2.22178,1.36804,0.01203,0.000297215,0.000297215,0.000297215
30,477.396,1.93499,1.13736,0.00723,0.60834,0.5417,0.57167,0.22693,2.24377,1.34487,0.01217,0.000284009,0.000284009,0.000284009
31,492.687,1.93068,1.15128,0.00734,0.57449,0.5601,0.56679,0.22761,2.25798,1.36668,0.01223,0.000270802,0.000270802,0.000270802
32,506.971,1.91612,1.15781,0.00718,0.60804,0.51419,0.55544,0.22477,2.24285,1.41179,0.01208,0.000257595,0.000257595,0.000257595
33,522.444,1.90159,1.121,0.00743,0.59619,0.54113,0.56389,0.22796,2.26221,1.39821,0.01224,0.000244389,0.000244389,0.000244389
34,537.333,1.92393,1.09298,0.00734,0.61778,0.52995,0.58161,0.23658,2.25386,1.35926,0.01223,0.000231182,0.000231182,0.000231182
35,552.906,1.91843,1.12293,0.00736,0.5724,0.56595,0.57153,0.22676,2.23805,1.37238,0.01207,0.000217976,0.000217976,0.000217976
36,567.225,1.91774,1.10706,0.00717,0.59656,0.55233,0.57137,0.22988,2.24722,1.3398,0.01219,0.000204769,0.000204769,0.000204769
37,582.235,1.85363,1.06861,0.00714,0.65036,0.527,0.58011,0.23592,2.23814,1.34369,0.01213,0.000191562,0.000191562,0.000191562
38,597.311,1.85879,1.06728,0.00732,0.62308,0.54402,0.57305,0.23202,2.23171,1.35388,0.01209,0.000178356,0.000178356,0.000178356
